Organisation,Number of payments,Total amount
Eb *special Educationa,2,766.67
Www.Charteredforesters,4,730.5
Carers Leeds,64,4831977.78
Platinum Motor Co Ltd,1,97
Andrea Cannan,18,7929.08
Edwards & Lockett Ltd,2,697.5
Crl Yorkshire Ltd,4,22210.5
Zoeller Waste Systems Ltd,25,43455.48
Educare Staffing Ltd,1,600
Royal Parade Cafe,1,69.2
Medisupplies Ltd,5,167.95
Paypal *herts4learn,1,40
Lewis & Cooper Ltd,1,367.11
Adel Farm and Gardens,1,630
Bt Payment Services Ltd,4,15460.9
Ic Blue Ltd,2,7500
Yorkshire Life Aquatics,2,705
St Annes Shelter & Housing Action,514,10325371.33
Roosters Brewing Company Ltd,8,9493.55
South Milford Hotel,1,119.85
University Of Nottingham,3,54617.46
DEEN ENTERPRISES COMMUNITY FORUM,1,3726.45
Harewood In Bloom Association,1,378
Spen Hill Residents Association,6,1895.6
Chadwick Lawrence   Solicitors,1,240
Insulation Online Ltd,4,1164.17
Blue Diamond Stl,20,2851.3
J D Fire Ltd,1,705
Smithsonian Ca11136967,1,12.75
The Met Hotel Leeds Ltd,1,5500
WESTMINSTER HOUSE,1,1836
Hmcourt-Services.G,58,14895.54
Coles Mcconnell Ltd,1,11550
The White Rose Surgery,1,25
Comfort Momoh,2,538.07
Leeds Community Mediation Service,2,4423.75
Artavia,6,13537.35
S Haidar,20,4026.23
Peppermint Publications Ltd,1,115.96
Ashwoods Automotive Ltd,15,90143.15
Mr M C Doodson,1,2365
Adel Quaker Meeting,27,3153
Rainbow Signs And Graphi,1,16.11
Poundland,17,154.15
Paypal *veraenterpr,1,10.5
Ccbcoffice,1,154.17
Burning Studios,2,500
Sarah J Wallis,1,725
Hire Station-Ltd,5,3175.5
Hard York Quarries Ltd,59,66676.19
C M Coates,4,3570
Andiamo! Language Services Ltd,1,4425
Treymaine Ltd,1,2069.22
Meresbrook Pollard Solicitors,1,1450
Notre Dame Rc 6th Form,1,3.88
Npl*new Pig Ltd,3,860.38
Www.Cgpbooks.Co.Uk,11,1143.05
Christalya,1,100.6
Suregreen Ltd,1,125.13
Www.Alldayshop.Com,1,22
Ken Milner Floor & General Cleaning,1,995
National Acquisitions Group,7,1109.34
Care & Repair (Leeds),1,62.93
J&S House,4,1285.95
Tracey Walker,1,795
Christella Litras,2,950
Clayton Mot & Service Cn,16,4351.29
Palmerharvey.Co.Uk,292,92089.17
St Johns Church Hall,6,3300
FROEBELIAN SCHOOL(HORSFORTH) LTD,2,30182.29
Cohen Cramer,6,6290.5
Dell Corporation Ltd,3,17560.63
Salts Mill - Salts,1,4.88
Cromwell Group (Holdings) 12mz513,19,3359.23
Bronte Park Nursing Home,50,74407.48
Telefonica O2 Uk Ltd,3,1553.73
Www.Skillboosters.,1,295
PARKVIEW REST HOME,4,6743.76
Rotherham Area Cricket Development Group,1,420
4children (Trading) Ltd,9,183637.34
KINDERCARE DAY NURSERY,5,33963.68
Renew Leeds Ltd,241,4187423.41
Tesco Pfs 4042,4,149.86
Victoria Hotel,2,60
Ace Cars,6,1282.7
Tonic Theatre,1,9.7
City & Holbeck Day Nur,3,932.5
Old Ship Hotel,4,583.34
Eden Foster Care,692,3346762.67
Dudley Hill,2,736
Tesco Stores 5740,1,15
Iconandco.Co.Uk,1,77.95
Don Steward,1,500
Stretch,4,5600
The Rapide Brothers,2,430
Northamptonshire County Council,6,78771.43
Calderdale Metropolitan Borough Council,241,52755290.52
Www.Omniwash.Co.Uk,1,55.92
Pineapple Events Ltd,2,125.6
Foden Spence Construction Ltd,2,68235.03
Talk Super Save,1,4
Harfield Components Ltd,5,2718.7
Fresh & Funky,1,315
Www.Birmingham.Gov.Uk,2,24
Centara Ltd,15,51517.18
Chamber Music Plus,1,120
Www.Bhma.Co.Uk,2,433.07
Chorley Borough Council,3,150
Ummah Help,1,100
Dewsbury Road Social Club,4,5600
Coates And Kemsley Properties Ltd,1,50
Better Action For Families,64,71128.56
Wetherby Home Care Ltd,8,768.75
Travel Plan Services Ltd,1,125
Amz*maudesport,1,239.59
Extra Energy Supply Ltd,3,786.05
Bennett House,21,53113.61
Totalsheetmusic.Com,1,57.95
The Partners,1,151.42
Paypal *david Ford,1,11.25
The Coach House Nursing Home,4,5146.27
Pudsey Medical Ltd,23,4591.29
Www.Workplace-Products,2,2030.5
Pjas Consultancy Ltd,12,86000
W Chapman & Sons (Farmers),1,355.2
CONTROLLED SPACE LTD,31,120255.57
JEPHSON HOMES HOUSING ASSOCIATION,3,2833.92
P A Rowlay Ltd,1,480
Paragon,4,1726.5
Hough Lane Store,57,7366.22
Lion Trackhire Ltd,13,60062
British Pig Association Ltd,8,441.77
New Beginnings,43,156898.15
Lotherton Hall,10,120.55
Designwrite Signs Ltd,2,1184
Cardinal Heenan School Services Ltd,395,5137182.42999999
Everyman On-Line,1,35.83
Parkrun Ltd,7,15088.67
P J Goulding,4,300
Www.Crowdcontrolsoluti,1,355
St. Marys Chequerfield Community Project,1,16
Claire Collins Consultancy Ltd,1,150
People 1st,2,700
Indy Cinema Group Ltd,2,17982.5
Techsoft Uk Ltd,2,1016.95
Eb *monkey Business Ma,1,30
SUNNYDALE,2,41213.46
TYCO FIRE & INTEGRATED SOLUTIONS,1,15000
Manor Farm Care Home,4,12405.64
Harry Hinchcliffe,2,304
Manor Park Care Home,303,687597.71
W/yorkshire Playhs,1,11.75
West Middlesex University Hospital,9,2439.11
Co-Op Group 108607,17,174.45
Aal Ltd,5,5009.77
Bupa - Third Party Recovery Team,1,2928.46
D P Patel,8,1182.2
Garforth Parish Church Cricket Club,2,1000
Sdl Group Ltd T/a Surr,97,40689.53
Butterfly Tree,1,380.92
Allcare Mobility,1,428.64
Rowland Bros Trade Ltd,3,3033.7
Shirley Parsons Associates Ltd,17,77265.4
INDEPENDENT EQUIPMENT CO,2,3175
P J Livesey Holdings Ltd,2,194
Richmond Hill Elderly Action,52,690920.24
Clifford Local History Group,1,500
Trustees Of Cotw-The O,1,5.2
Upworkescrow*bal-20aug,1,961.78
Hugh Gooding Funeral Service,3,908.5
Killgerms Chemical,1,617.2
COMMUNITY ACTION LITTLE LONDON & SERVIAS,1,2500
Yes Personal Injury,6,11112
Lba Car Parking,1,5.83
Clarion Seven Muses,6,13339
Independent Equipm,144,33760.96
David Waterman,1,3650
Concentric Lettings,2,1400
Rodley Nature Reserve,2,1000
Leeds Arena,2,727.5
Arden House Hotels,1,72
The Princess Alexandra Hospital,3,515.5
Kelways,1,29.15
Batty Developments Ltd,2,9667
Hce Group Ltd,22,16470
Parkview Surgery,4,287.13
Kippax Greenfield Primary School,3,2240.89
LEVELK APS,1,225.26
Bridge Street Allotments Gardeners,2,3212
Fly Media And Communications Ltd,3,4997.5
Ben Hall,58,67084.22
Northgate Public Services Uk Ltd,115,687126.38
Adel & Ireland Wood Community,2,1656
Garforth Community Christmas Committee,4,1000
Metro Goldwyn Gipton,1,240
RODLEY NATURE RESERVE TRUST,1,500
Connect Up Ltd,2,6907.8
Www.Adt.Co.Uk,59,32101.18
Izabela Sikorska-Yumusak,39,5429.86
Hudson & Partners,29,167245.76
Dropbox*267s2lzr4dt6,1,57.6
Songo Drumming Project,5,3320
Leeds Womens Aid,175,4755954.25
Automation Security Elec,10,3831.7
High Court Enforcement,1,66
Kashmir Supermarke,2,26.13
Mr Kevin Green & Mrs Hilary Gardener,1,5000
Instalcom Ltd,2,11100.45
Yorkshire Agricultural Society,4,12664.17
Sharon Waterson,4,4250.7
ROSPA ENTERPRISES LTD,1,425
Dr Russell Keenan,2,459
Standing Together Against Domestic,1,150
Day Out With The Kids,1,497
Paypal *showdown,1,250
Woodrup,1,540
Aid Training & Operations Ltd,50,4952.14
Www.British-Gymnastics,11,3004.44
Stephan Jungnitz,7,30733.1
Mehrdad Habibi,2,360
Caci Ltd,23,136560.65
Callum Johnstone,18,8020
The Children'S Society,5,149858.14
Altitude Film Distribution Ltd,13,5724.43
Pipeline Theatre,1,750
Myers Building Supplies,10,2923.97
DSI BILLING SERVICES LTD,5,18194.1
Baby Travel Uk Ltd,1,30
INTEGRATED UTILITY SERVICES,1,438
Paypal *fcbaileyukl,2,91.65
Susan Naylor,5,2764.5
PURPLE PRO AUDIO,3,4580.24
Craftsman Tools Ltd,2,15000
Regent Office Care Ltd,1,53.45
Shell Black Cat,1,30
Dennis Bainbridge,1,1574.25
Rhodes Homes Builders & Property Develop,2,24272.3
16 Horsforth Brownies,1,600
Cer,210,9644.61999999998
Ackerman International Trading Ltd,4,660.7
Hunslet Roofing,2,716.8
Cansdale Property Development,5,3042
HMCS (LEEDS COUNTY COURT),3,2680
Victoria Kilpatrick,1,500
Simon Brock Handmade Leather Goods,1,100
Adoption Uk,58,72154.59
Www.Payasugym.Com,1,10.5
SWIM TEC UK,1,516.9
Selco Leeds Elland Road,3,95.34
Leeds Beckett Tchoukball,1,647.98
Noberne Doors Ltd,1,567.78
G  Banks Ltd,2,8097.5
Workman Llp,7,841344.52
Richard Holland,2,587.5
C Browne Ltd,1,740
St Marys And St Davids Church,2,200
Puppet State Theatre Company,1,1320
Surinder Singh Suri,1,150
Howth Engineering Ltd,5,7852.5
Vicky Ellis,34,54282.9
Www.Cim.Co.Uk,4,358.78
DIOCESE OF LEEDS,1,11183.74
Spring Close Gardens,1,100
Concord,4,1412.5
2nd Beeston Brownies,3,200
Park Lane Homes Ltd,3,570
Response Fluid Power Services Ltd,554,81994.13
Babar Tanoli,1,90
Widebarn Ltd,11,2800
Arabella Health Staffing Ltd,2273,1445096.28000001
Brambly Hedge Day Nursery,10,2540.8
Lions Gate Uk Ltd,3,828.63
A M Jones Ltd,2,475.8
Repair Kits Uk,3,274.42
The Helping Hand Company Ltd,524,411567.88
Institute Of Chartered Foresters,5,1418
Www.Spcb.Co.Uk,1,110
Thornbury Cricket Club,1,1400
Pipac Ltd,1,3156
Webcas,1,564
Papercutz.Co.Uk,2,55
Westfield Tara Comm Involvement Group,1,200
Pannone Llp,1,310000
Andrew Farrow,1,710
Klm UK 0742409703154,1,89.01
Informa Uk Ltd,5,2676
First Class Child Care Ltd   (Yeadon),95,351512.88
Streamline Charges,629,832564.250000001
Www.Aspli.Com,1,38
Kbc Lease (Uk) Ltd,1,8823
Hamlins Llp,1,1250
Deborah Sanderson T/A Urban Angels,10,12410.52
Eb *skeleton Preparati,1,105.59
B Atkinson,1,142.86
S Rahman T/A Leeds Properties,1,97
Springfield Residential Home,330,5238660.89
Absolute Venues Ltd,1,9.6
Milnerbuild Ltd,305,851492.6
The Pantry,6,516.5
PETER CASSIDY (LEEDS) LTD,1,603.14
Visualising Data Ltd,1,275
Lexadeen Solicitors,3,5304
Sportsdirect 864,2,151.89
Midshires Care Ltd,58,34733.35
Scrap Creative Reuse A,7,495.25
Wordpress 4vu48x7gj2,1,66
The Woodlands Residential Home,5,12111.95
HIGH STREET VOUCHERS LTD,2,1480
Rosse Systems Ltd,9,13689.82
Ideal Claims Solution,1,2272.03
Victoria Melody,1,600
Gildersome Joinery & Building Services,1,14072.92
Jenny Lawson,3,800
Whp Telecoms Ltd,1,385
Royal College Of Physicians,4,2000
Sammon Building Contractors,1,10343.09
Marlene J Powell,1,100
Paypal *ahd Ltd,1,1090.8
O'Gorman & Carey Flooring Contractors Lt,1,3012
Paypal *homediscoun,2,55.2
Leeds Apostle Church,6,2175
William Anelay Ltd,9,343347.66
P&H Direct Van Sales Ltd,576,147248.23
Cathaypacair1602357304550,1,2591.95
Bottles Direct,1,76.95
Redcar & Cleveland Cnc,1,12.5
Jom Electrical (Leeds) Ltd,8,11280
Cabana,1,74.55
Baydale Control Systems Ltd,1,44784.72
Outdoor Classrooms,19,54713.25
Garforth Net,3,1891.76
Cragg Hill And Woodside Residents Group,2,508
Independent Cinema,3,54.17
Eclipse (Batley) Ltd,1,55.2
Naturescape,3,1157.09
Physique Sports,3,867
David Sweet,1,150
My History,1,4.21
Laf (Yorkshire) Ltd,8,22834
Wheels 4 Fun,2,1914.56
The National Autistic Society,2,4305
Fisher Scientific Uk Ltd,3,295.08
Metro Stib Bourse,1,3.18
Heatmiser UK Ltd,2,699.98
John O Gaunts Luncheon Club,1,600
Natalie Jackson,26,8406.6
Networks By Wireless Ltd,3,16136
Cara,3,1357.1
Henry Moore Clinic,1,151.42
Dimensions Curriculum Ltd,2,2927.95
Westerton Elderly Community Group,4,800
24th S W Scout Group,4,2835
Paypal *patternpass,1,210
Albert Haywood & Son L,4,317.05
Environments For Learning Leeds Pfi One,310,42605681.43
Sharn Samra,2,1650
Shahid Aziz,1,600
St Josephs Centre For,1,179.38
Seagulls Re-Use Ltd,157,904661.94
ALZHEIMERS DISEASE SOCIETY,2,90884
Itl North East Ltd,2,120.4
Leeds City Council,68,235.38
University Of Strathcl,1,33.33
Protorus Solutions Ltd (Migloo),1,300
Healthy Living Network - Leeds,37,301370.06
28698,2,10.25
WINGFIELD NURSING HOME,2,4732.09
Www.Cambridgeasses,25,2433.65
Airedale Environmental Services Ltd,1,626.5
Russell Richardson & Sons,156,8412.85
Bionic Cat Blackmiths,1,362
COLAS LTD,43,801437.37
AGGREGATE INDUSTRIES UK LTD,4,270555.82
Datamark UK Ltd,1,540
Upwork -156559500ref,1,586.91
M Flynn,42,619409.08
Chris Mould,10,7300
K & K Ambler,11,24585
Handspring Design Ltd,2,10000
Harpal Singh Lakhanpall,1,648.22
Court Enforcement Services,1,372
Pk Safety Services,4,2625
Benfield Ford,169,668855.05
Visual Systems &amp; Sign,1,367
Autism Care (Uk) Ltd,121,934853.09
Paypal *abscissa,1,29.75
Easi-Edge Ltd,2,6966
Laurel Bank Nursing Home,125,200518.22
W V Thackray,13,1375
Dominos Pizza Leeds R,1,25
Symon Culpan,10,14955.25
Leeds Rl Service Area,1,1540
Sue Ryder Care - 6160,2,153.83
Amz*expresspro,1,5.99
W M Morrisons.Com,86,7346.32
City Of York Counc,14,264.08
Uk Enterprise Rac Uk Ltd.,7,3424.4
Berkshireconference,2,528.55
Edenred (Uk Group) Ltd,1,109.9
Seacroft Pcc,1,222
Timberline Ltd,1,8800
Www.Houseofmarbles.Com,2,1033.3
Vernon Robinson & Sons,1,250
Dine Hospitality Ltd,98,106967.45
Cleveleys Court Social Fund,7,8044
Richard Haworth,3,1696.34
Simon Lewis,4,1875
Whingate Methodist Luncheon Club,5,11509.25
Beeston Juniors,3,1550
Mirror Mirror Events,1,233.75
Robin Hood In Bloom,3,3317
The Kings Fund,10,18671.75
Vernon Films Ltd,1,660
Adatis,2,14123.78
Sunshine Club,6,2089.5
Go Cleaning Supplies,1,40.18
Fcc Recycling Uk Ltd,1,2100.01
S R Lightfoot & Partners,23,112702.66
Haven Holidays,24,8547.86
Mr K Maddon,1,500
Gipsil Supported Independent Living Ltd,11,64872.23
Care Properties,5,2650
Mip (Uk) Ltd,13,58930.5
Driver Hire Leeds East,160,338786.24
Cookielicious (Yorkshire) Ltd,13,2591.75
Wheatley Fm Ltd,1,5358
Star Books,138,23334.19
Caroline Wigin,1,400
Buytshirts,3,154.87
In-Car Safety Centre,1,220
Aig London Limited In Administration,5,7640
Wagamama York,1,15
Jack Holborn,1,1844.4
R Frazer,1,845
Magic Rock Brewing Company Ltd,1,4952.85
Digital Me Ltd,16,79812.15
Www.Chemiclean.Co.Uk,3,213.84
Vitamin Music Ltd,1,150
Quest 88 Ltd,178,132494.57
C B Richard Ellis Ltd,3,38795.88
Lip Service,1,761.67
1st Micklefield Scout Group,3,1500
Amy Welch,1,500
Grainne Slavin,1,571.39
Chequers Transport,2,723.15
FEZDENE LTD,2,4937.92
Sound Advide Safety And Health Ltd,3,1947.2
Www.Stormtrading.Co.Uk,2,44.94
Wbw Surveyors Ltd,1,837.5
St Theresas Retirement Club,12,4250
Rebecca Hill,5,4205.9
Www.Finerfilters.Co.Uk,2,54.96
Admiral Reach Residential & Nursing Home,1,882.56
Ivy Mead,81,721344.51
Subway Guiseley,1,6.8
Fol Espoir,2,1000
Www.Rockawnings.Co.Uk,13,6259.75
Bps Print And Design,4,930.2
Asda Store 4545,9,135.69
Access Computer Consulting Plc,36,130574.34
East Ardsley Cubs/Scouts,2,400
Kinetic Systems Support (Uk) Ltd,34,215337.8
The London Gazette,4,104
Jwa Production,9,19622.5
C D C Draincare,14,8355.29
Stuart & Ann Collridge,9,3475.29
Nls Tools,1,61.66
Nature Planet,14,7630.8
Seltek Solutions Div O,1,1004.28
Giomani,1,149
Sprinkles Gelato,4,13.09
Gbr Phoenix Beard Client Account,3,6728.74
Www.Hmcourt-Servic,1,50
Health Books UK Ltd,3,334.5
J CHENG,3,2625.2
Kee Travel,14,3983.19
Cora Foundations,8,334195.22
Beverley Wood,4,3106.2
Lascaux Technology Ltd,1,220
No Third Entertainments Llp,3,16050.99
Marsh Ltd,25,674033.46
The Mcps-Prs Alliance,74,49991.15
The Magic Box,3,2676.62
Caretech Community Services Ltd,525,1360010.44
Kim Searle,1,180
Living Local,6,11300
Eb *the Secret World O,1,34.89
Zara,2,89.97
George Downing Construction Ltd,1,76.38
Comparex UK Ltd,160,753846.36
London Borough Of Harrow,1,2380
Leeds Racial Equality Council,6,53005.5
Brochurelink,2,4237
Ohare Decorating,1,480
Clumber Court Care Home,14,19998.6
Robert Smith,1,1250
Dorothy Schofield,1,35
The Flag Shop Ltd,1,7.99
Guiseley In Bloom,12,9582.77
Thornbridge Outdoors,2,795
Polka Flock,1,1000
Voicepower Ltd,16,17757.3
Npower,989,176795.35
Eden Rock,1,36
Uk Private Psychology Ltd,4,2995.41
Leach`s,1,127.68
Hj Interpreting Ltd,19,4725.75
Can'T Sit Still,1,750
The Gresham Hotel,1,65
G S Khan & C A Renwick,37,21065
EMMAUS LEEDS SUPPORTING PEOPLE PAYMENTS,3,11842.52
BROWNBERRIE LANE PRE-SCHOOL,2,35075.89
Shield Commercial,2,1100
Grax Ltd,38,1670.87
Bentley Court Luncheon Club,1,500
Speaking Of Books Ltd,1,582.2
Www.Blochotels.Com,1,51.75
Michael S Stanley,1,307.6
Lounge Bar & Grill,2,135.67
Venture Pressings Ltd,1,510
Step Ahead Home Care,346,619627.64
Francis Breslin,2,966.26
Rothwell Juniors Football Club,1,200
Www.Backpainhelp.Com,1,31.65
Simple Stuff Works Cic,9,5913.9
Dcs Systems Ltd,2,1630.9
Phillip Batin,1,150
federal express europe,1,973.51
Ffhs Services Ltd,1,32.61
Basis Yorkshire,1,1282.4
In Out Solutions,43,272659.74
Amz*the Craft Light Compa,1,55.75
123-Reg.Co.Uk,52,5524.79
Joe Cocker,1,11293.9
The Green Residents Association,1,200
Countrywide Residential Lettings,3,4425
Sig Trading Ltd,516,61523.05
Cash Merrion House Head Office,1,10.78
Hunslet Cars Ltd,503,175832.1
Leeds Black Elders Association,111,868247.19
James W Shenton Ltd,1,2363
Redding Associates Ltd,5,28075
Formkraft Distribution,1,645.6
R3s Global Ltd,1,31591
Ceramic Tiling Tools,1,410.83
J D Wetherspoon Plc,2,8933.95
Nice 'N' Naughty,1,7881.47
St Helens Council,24,420991.89
Publick Transport,2,1175
Lidget Hill Stationers,4,34.29
Luckies Of London Ltd,4,4072.08
Visionaid Technologies Ltd,20,15316.05
SHINY SKY LTD,40,36737.08
Collections Trust,6,502.18
Marie Darwood,13,5678.63
Hanover House Social Club,2,300
VALEO LTD,5,14019.18
Opal Envelopes Ltd,8,5590.7
Dominic Moore,2,1260
Comtec Services,2,2124.85
A & A Electrical Distributors Ltd,96,33273.76
Rowland Road Wmc,7,8200
E C Harris Llp,166,223780.1
Jonathan Kappes,1,475
Leeds Philosophical & Literary Society,1,450
PETER SPAFFORD,1,800
Picture The Print,9,959.98
My Agent Properties,2,900
Ucas Media Ltd,9,54811
A + C Mealing,2,4400
Aire View Residential Home,241,5246230.12
Connection Software Ltd,1,2250
Middleton Mothers Union,1,600
David Eliot Cooper,5,1660.8
Leading Force Ltd,30,4339.05
SANDLA TRANSPORT SERVICES LTD,12,33658.99
Autism Partnership Uk Ltd,221,397478.8
M/Order Pro Mus,1,930.13
Signet Planning Ltd (London),2,292
U Studio Design Ltd,2,1375.42
Buck & Hickman Ltd,5,652.45
S Mcseveny,21,8782.05
Www.Arts.Ac.Uk,1,30
THE LITTLE GREEN FROG DAY NURSERY,3,12518.66
Deangate Nursing Home,1,6183.2
Kwik Save,1,7.54
Plaza Gate 7,1,96.67
West Yorkshire Fire Safety Group,4,490
Princes Quality Butchers,11,470.87
Gioma Uk Ltd,1,350
Bapp International,5,317.69
Www.Aspinline.Co.Uk,1,339.2
Natural Gas Servic,5,12066
Gill Barn,5,5880
Man Utd Ticket Off,2,130
British Computer Society,3,1260
Jp Developers Ltd,11,48673.36
S & B Hire & Sales Ltd In Administration,4,35843.32
Timpson At Morriso,5,232.34
Www.Printerland.Co,1,96.5
Matthews Decorations,2,8000
Savers Health & Beauty,4,80.96
ZURICH INSURANCE COMPANY,1,511.09
Crowne Plaza Manchester,6,350.5
Lucy Wilson,3,1533.26
Digital Village,2,2991.52
Shape Posture Seating,3,942.15
Sport Structures Education Cic,2,2252
Rippleglen,6,731.25
Www.Mattressonline.Co.Uk,2,519.8
Balvac Ltd,4,275168.45
Jobtarget Ltd,2,1436
The Grove Luncheon Club,5,7471.25
Frontline Data Ltd,12,84965
Btm,3,1445
D J Simpson,1,65
Seca Ltd,1,36
Rozi Fuller,1,170
Nasir Ali,3,1575
Cef (Leeds East),3,600
Horizon Soft Drinks Ltd,64,701.6
Troutbeck Nursing Home,149,311645.39
Remploy Ltd,22,157133.2
Karen Barton,18,7077.52
Pp*fleetclean Ltd,5,1193.81
Go Kart Daddy,1,84.98
Angela Ricciardi,1,1098.12
Exova Catalyst,3,6400
Evac & Chair Internati,1,475
Bali Rai,2,550
Sykes House Farm Ltd,1,180.41
Sydney Bridge Project,1249,253509.2
Amazing Grace Early Years Childcare,82,384744.82
Wjec/cbac Ltd,3,262.36
Construction & Housing,3,54178
Outstanding Branding,25,50916.21
Dcs Ltd,16,10765
Rotowash Ltd,43,19835.5
Centre For Cities,4,17921.39
Kirsty Dacre,28,21297.6
Timothy Scott,1,1000
Renfrewshire Leisure Ltd,1,1111
Dinsdales Estates,1,500
Births deaths & Marria,71,2235.33
PMN Law,1,2800
Emma Sargison,18,3360
Paypal *globalship,2,80.83
Homebase Ltd 046,1,24.19
Feel Good Skin Ltd,1,1040
The National Food Forum,2,1329.9
Tanya Turner,4,556.6
Hampton Knight Ltd,45,8921.29
Jack Fishwick,1,600
F Debretsion,32,14073.04
David Barton Productions,3,1137.03
Wigton Moor Playschool Association,95,657881.87
Evans Easyspace Ltd,3,1909.62
Davpac,2,159.77
Roger Hannah & Co,1,11255.7
Leicestershire County Care Ltd,11,12231.74
Blaydoncomm,1,198
Rachmaninoff'S,1,32000
Spring Technology,844,1847441.9
Cardiac Science Holdings (Uk) Ltd,34,41626.2
Lee Ford Motor Co,1,2500
Nexus Assist,1,530.71
Calibration & Consulta,110,78730.57
Sun Membership,7,55.93
CHERRY TREES CARE CENTRE,2,1654.4
Rhinegold Pub,2,113.39
AIRWAVE SOLUTIONS LTD,1,653.66
Customworks,1,1974.9
Music Magpie,7,447.96
Sing Kee Supermarket,2,27.81
Paypal *log Imp,1,15.54
Steel Ford & Newton Solicitors,1,4262.42
Alpha Punch & Machinery Ltd,2,5045
Kitchen Solutions,1,3290
Samra Mayanja,2,300
Warrens Display Ltd,3,1771.3
Colton Mill,5,195.94
Brockwell Court,19,33593.9
Bagel Factory,1,7.68
Malcolm Simpson,1,28750
Paypal *more2educat,1,31.89
Leeds Guild Of Singers,1,60
Paradigm Consultancy & Development Agency,1,6750
Multi-Sensory Learning Ltd,1,84.16
Middleton Baptist Church,1,250
Dennis Williams Castle,1,68.51
Mototrend Tyres Ltd,1,18.38
peter hird & sons ltd,3,2689.5
Institute Of Legal Executives,13,3953.67
28705,10,58.81
Orange (A/pm/01),3,395.58
Hannah Smith,1,300
Ilkley And North Bradford Band,2,400
Provide,5,1368
Isg Construction Ltd,8,3876162.45
Swillington Elderberries,1,100
Ruth Miskin Literacy Ltd,1,250
David Mcginigal,1,800
Woodlesford Methodist Chapel,6,1480
Julie Johnson,38,24247.72
Www.Prhsolicitors.Co.U,1,120
Intercity Accommodation - Bacs,18,9210
Cube Lettings,13,3360
Southern Electric,311,140578.43
Five Rivers Child Care Ltd,95,567563.63
Warneford House Nursing Home,41,61130.2
Phab,1,330
Shepley Band,4,1000
Haigh Engneering Co Ltd,1,3306
Meika Ltd,1,74.15
Leeds City College Thomas Danby Campus,9,105028.4
Cygnet (Nw) Ltd,44,111450
Alfa Tail Lifts Limite,4,633.46
We Deliver (Uk) Ltd,54,1826.94
Wizz Air Hun0000000iyeskz,1,873.92
Harvey Nichols,1,25
Captain Watts Ltd,1,29.6
Co-Op Academy Priesthorpe,4,16777.59
Helme Park S/stn,1,17.11
Trinity Medical Centre,1,80
Co-Op Group 070169,1,7.76
Union Of Pedallers,1,50
Stuart Gordon,14,15171.46
Abraham Moon & Sons,1,931.2
Water Lane Boathouse,1,8
South Leeds Appliances,1,165
Taylor Wimpey North Yorkshire,2,178000
Paypal *i-I Ltd,1,79.98
Dociasport Ltd,1,1500
A S Jhagra,41,5518.5
Wordpress Zuqgs4s6bh,1,84
The Public Catalogue Foundation,2,1800
Inspiring Works,16,22024.05
Rob Hindle,1,50
Bivouac Ltd,4,3255
Federica Giammona (A List Lettings),1,700
PUDSEY LIVE AT HOME SCHEME,1,15796.5
Ask Legal,2,360
York Mbsr Ltd,2,2820.5
Stockeld Park,8,17638.99
Boyco Uk Ltd,6,8691
Haxby Group Practice,1,69.5
Farnell Inone,130,16310.53
Maxam Direct,2,4104
Olivia Hemingway,6,1895.3
Hoo*hootsuite Inc,13,277.79
Rlss Direct,50,51280.85
Air Baltic-Un758205633619,1,336.89
Asda Store 4718,1,24.78
The College Of Social Work,1,160
The Bike Shop (Leeds) Ltd,1,575
ROYAL ARMOURIES (INTERNATIONAL) PLC,3,12664.42
Clive T Bistrot Ristorant,1,171.6
Chris Harrison,1,300
Oaklands Care Home,33,59166.72
Oulton And Woodlesford Neighbourhood,3,1450
Riverside Medical Centre,8,412.09
Precious Art Collective,2,1000
Point North International Ltd,2,7526.51
Www.Instruments4mu,1,37.92
Dale Scaffolding Co Ltd,4,2642
Cardiac Science,1,275
Royal British Legion,2,268
Nerc,2,358.76
Alsa Enatcar,1,44.14
EDMUND BELL & CO LTD,2,2318.52
Hotell Mester Johan,1,129.6
J & S Foods Ltd,390,193120.41
CAROLINE PHILLIPS MANAGEMENT,1,2500
Brahler I C S UK Ltd,2,674.18
Www.Wildy.Com,1,115
M J Hunt,5,2810.3
Swingletrees,1,180
White Cloth Bar And Food,12,1443.9
Total Gas & Power,1,161.01
Oriental Express,4,151.12
Mr M. H. Scholes,1,480
Www.Furnitureatwork.Co,13,4337.8
Ibase Systems Ltd,5,10200
Stripes Solicitors,1,2636
East Leeds History & Archaeology Society,15,1029.5
Ntombizodwa Nyoni,1,250
Code Red Consultancy Ltd,1,1792
Lo And Vee,1,4000
Karen Rangeley Photography,1,1000
Hootsuite Media Inc.,89,764.34
Stephensons Solicitors LLP,4,8226.3
EXCELL (UK) LTD,46,112191.4
Doo Ltd,17,20366
Doncaster Childrens Services Trust,7,28807
Laws & Fiennes,1,500
Advantage Healthcare Nursing &,132,301269.37
Studio360,4,2360
Haley & Clifford,3,701.45
Northgate Vehicle Hire Ltd,1907,326750.100000001
Phoenix Paintball,3,833.9
Acorn House (Fostering Services) Ltd,43,200248.64
Ibis Leeds West,11,3550.01
Eastern Airways,8,1910.8
Jfh Graphic Engineers Ltd,18,19569.54
S&S Sports,1,1087.5
Bolton Metropolitan Bo,2,30.44
Paper Hygiene Services Ltd,66,19005.93
J T Ellis & Co Ltd,2,2212.99
